label,score
LABEL_0,0.9841868281364441
LABEL_0,0.9817095398902893
LABEL_1,0.9809734225273132
LABEL_1,0.9773173332214355
LABEL_1,0.9177201390266418
LABEL_1,0.9777098894119263
LABEL_0,0.9544014930725098
LABEL_1,0.9528210759162903
LABEL_1,0.9757754802703857
LABEL_0,0.9814581274986267
LABEL_1,0.9808835387229919
LABEL_1,0.9799204468727112
LABEL_1,0.9722450375556946
LABEL_1,0.9724222421646118
LABEL_1,0.9742550849914551
LABEL_1,0.9799519181251526
LABEL_0,0.9807958006858826
LABEL_1,0.9022883176803589
LABEL_0,0.985633909702301
LABEL_1,0.9799847602844238
LABEL_1,0.9808009266853333
LABEL_0,0.9810581207275391
LABEL_1,0.9778627157211304
LABEL_0,0.9847415089607239
LABEL_1,0.9216027855873108
LABEL_1,0.9804072976112366
LABEL_0,0.9792985916137695
LABEL_1,0.9754012823104858
LABEL_0,0.9837608933448792
LABEL_0,0.7447320818901062
LABEL_1,0.9588966369628906
LABEL_1,0.9806810021400452
LABEL_1,0.9363282918930054
LABEL_1,0.9750680327415466
LABEL_0,0.6711896061897278
LABEL_1,0.9739466309547424
LABEL_0,0.9870815873146057
LABEL_1,0.8428486585617065
LABEL_1,0.980383574962616
LABEL_0,0.9860743880271912
LABEL_1,0.9809262752532959
LABEL_0,0.9878150224685669
LABEL_1,0.977135419845581
LABEL_1,0.975613534450531
LABEL_1,0.9759883284568787
LABEL_1,0.6695367097854614
LABEL_1,0.9800184369087219
LABEL_1,0.9691989421844482
LABEL_0,0.9758047461509705
LABEL_1,0.9814997911453247
LABEL_0,0.977375864982605
LABEL_0,0.9155781865119934
LABEL_0,0.9814882278442383
LABEL_0,0.9760162830352783
LABEL_1,0.571962833404541
LABEL_1,0.9557636976242065
LABEL_0,0.9855440258979797
LABEL_1,0.9688140153884888
LABEL_1,0.9791001677513123
LABEL_1,0.9814784526824951
LABEL_1,0.7891252636909485
LABEL_0,0.927120566368103
LABEL_0,0.983353853225708
