label,score
NEGATIVE,0.9997784495353699
NEGATIVE,0.9979178309440613
POSITIVE,0.9996669292449951
POSITIVE,0.9986935257911682
POSITIVE,0.6808695197105408
POSITIVE,0.9995075464248657
NEGATIVE,0.9992631077766418
NEGATIVE,0.9091733694076538
POSITIVE,0.9995811581611633
NEGATIVE,0.9992327690124512
POSITIVE,0.9874885082244873
POSITIVE,0.9996540546417236
POSITIVE,0.9951450228691101
POSITIVE,0.9981289505958557
NEGATIVE,0.7026602625846863
POSITIVE,0.998002827167511
NEGATIVE,0.9951753616333008
POSITIVE,0.9924417734146118
NEGATIVE,0.930814802646637
POSITIVE,0.9997648596763611
POSITIVE,0.9953486323356628
NEGATIVE,0.9982725381851196
POSITIVE,0.9741275906562805
NEGATIVE,0.9990416169166565
POSITIVE,0.9948939085006714
POSITIVE,0.9994117021560669
NEGATIVE,0.5489469170570374
POSITIVE,0.97362220287323
NEGATIVE,0.9995892643928528
NEGATIVE,0.9980807304382324
POSITIVE,0.9983924031257629
POSITIVE,0.9994955062866211
POSITIVE,0.9994723200798035
POSITIVE,0.9271435737609863
POSITIVE,0.8398486375808716
POSITIVE,0.9970170259475708
NEGATIVE,0.9997923970222473
POSITIVE,0.9868218898773193
POSITIVE,0.9998032450675964
NEGATIVE,0.9982625842094421
POSITIVE,0.9966132044792175
NEGATIVE,0.999358594417572
POSITIVE,0.9998750686645508
POSITIVE,0.9898054599761963
POSITIVE,0.9996707439422607
POSITIVE,0.9987841248512268
POSITIVE,0.999237060546875
NEGATIVE,0.9304009079933167
NEGATIVE,0.9995498061180115
POSITIVE,0.9992504715919495
NEGATIVE,0.9995242357254028
POSITIVE,0.9975948929786682
NEGATIVE,0.9958497285842896
NEGATIVE,0.9976915121078491
POSITIVE,0.9995120763778687
NEGATIVE,0.9542105197906494
NEGATIVE,0.9965224266052246
NEGATIVE,0.9891642928123474
POSITIVE,0.999889612197876
POSITIVE,0.9989444613456726
NEGATIVE,0.9977618455886841
NEGATIVE,0.9856612682342529
NEGATIVE,0.9991111159324646
POSITIVE,0.9997939467430115
POSITIVE,0.9994183778762817
POSITIVE,0.9985337257385254
NEGATIVE,0.999001681804657
POSITIVE,0.9986703395843506
NEGATIVE,0.9963330030441284
POSITIVE,0.9986432194709778
NEGATIVE,0.9963650703430176
POSITIVE,0.9963917136192322
POSITIVE,0.9991841912269592
POSITIVE,0.9994634985923767
NEGATIVE,0.9931638836860657
POSITIVE,0.994195282459259
NEGATIVE,0.9780979156494141
POSITIVE,0.9897510409355164
NEGATIVE,0.9337636828422546
POSITIVE,0.9997668862342834
NEGATIVE,0.9964312314987183
POSITIVE,0.9997988343238831
POSITIVE,0.9995019435882568
NEGATIVE,0.7967275977134705
NEGATIVE,0.9995923638343811
POSITIVE,0.9992932081222534
POSITIVE,0.9993450045585632
NEGATIVE,0.9992341995239258
NEGATIVE,0.9969782829284668
NEGATIVE,0.9994595646858215
NEGATIVE,0.9996063113212585
NEGATIVE,0.9978068470954895
POSITIVE,0.9970236420631409
POSITIVE,0.9925264120101929
NEGATIVE,0.8847447037696838
